"firstday","weighted_ILIpercent"
2006-08-13,1.66641
2006-08-20,1.45148
2006-08-27,1.86538
2006-09-03,2.05942
2006-09-10,1.65387
2006-09-17,1.77529
2006-09-24,1.72223
2006-10-01,1.29969
2006-10-08,1.6574
2006-10-15,1.98234
2006-10-22,2.04055
2006-10-29,2.36278
2006-11-05,3.13319
2006-11-12,3.36411
2006-11-19,3.728
2006-11-26,3.27971
2006-12-03,3.39292
2006-12-10,4.65279
2006-12-17,4.68878
2006-12-24,5.66906
2007-01-07,3.85813
2007-01-14,3.54881
2007-01-21,4.16998
2007-01-28,5.71282
2007-02-04,5.67757
2007-02-11,7.26662
2007-02-18,7.56285
2007-02-25,7.29035
2007-03-04,6.14836
2007-03-11,5.0833
2007-03-18,4.45923
2007-03-25,3.04201
2007-04-01,2.6156
2007-04-08,2.58951
2007-04-15,3.02539
2007-04-22,2.1424
2007-04-29,2.21712
2007-05-06,1.94261
2007-05-13,2.0261
2007-05-20,1.92852
2007-05-27,1.69418
2007-06-03,1.80459
2007-06-10,1.5548
2007-06-17,1.5625
2007-06-24,1.33389
2007-07-01,1.71027
2007-07-08,1.3411
2007-07-15,1.06314
2007-07-22,1.45692
2007-07-29,1.52036
2007-08-05,1.55284
2007-08-12,1.65421
2007-08-19,1.33616
2007-08-26,1.67297
2007-09-02,1.54033
2007-09-09,1.56958
2007-09-16,1.90625
2007-09-23,2.28819
2007-09-30,2.29889
2007-10-07,2.14619
2007-10-14,2.7143
2007-10-21,2.91431
2007-10-28,3.16727
2007-11-04,3.4854
2007-11-11,3.64891
2007-11-18,3.42365
2007-11-25,3.88947
2007-12-02,3.73961
2007-12-09,3.07706
2007-12-16,2.90021
2007-12-23,3.04824
2007-12-30,3.96793
2008-01-06,3.94392
2008-01-13,4.72509
2008-01-20,4.78586
2008-01-27,7.61878
2008-02-03,10.237
2008-02-10,10.3372
2008-02-17,9.70153
2008-02-24,8.20703
2008-03-02,6.60168
2008-03-09,6.32418
2008-03-16,4.93447
2008-03-23,4.51543
2008-03-30,3.05563
2008-04-06,2.76556
2008-04-13,2.17983
2008-04-20,2.06148
2008-04-27,1.40762
2008-05-04,1.16304
2008-05-11,1.42668
2008-05-18,1.24627
2008-05-25,1.3772
2008-06-01,1.78743
2008-06-08,1.27026
2008-06-15,1.61695
2008-06-22,1.30054
2008-06-29,1.35669
2008-07-06,1.21758
2008-07-13,1.28951
2008-07-20,1.64681
2008-07-27,1.32273
2008-08-03,1.2331
2008-08-10,1.48116
2008-08-17,1.42178
2008-08-24,1.07296
2008-08-31,0.646587
2008-09-07,1.25761
2008-09-14,1.95031
2008-09-21,2.26597
2008-09-28,1.52085
2008-10-05,2.10322
2008-10-12,1.6535
2008-10-19,1.38716
2008-10-26,1.54191
2008-11-02,2.16741
2008-11-09,1.63041
2008-11-16,1.48737
2008-11-23,1.85478
2008-11-30,2.17762
2008-12-07,1.78132
2008-12-14,1.63764
2008-12-21,2.46805
2008-12-28,2.8752
2009-01-04,2.50721
2009-01-11,3.16186
2009-01-18,3.70999
2009-01-25,5.28209
2009-02-01,5.95372
2009-02-08,6.50087
2009-02-15,5.25935
2009-02-22,4.26105
2009-03-01,4.10177
2009-03-08,2.4825
2009-03-15,3.39527
2009-03-22,2.44904
2009-03-29,2.1054
2009-04-05,2.38183
2009-04-12,1.50475
2009-04-19,1.86474
2009-04-26,4.19803
2009-05-03,3.44946
2009-05-10,3.05824
2009-05-17,2.43862
2009-05-24,1.49154
2009-05-31,1.09286
2009-06-07,1.73939
2009-06-14,0.857874
2009-06-21,0.902506
2009-06-28,0.990339
2009-07-05,1.4504
2009-07-12,0.932089
2009-07-19,0.952242
2009-07-26,1.16424
2009-08-02,0.750677
2009-08-09,0.891255
2009-08-16,1.70169
2009-08-23,3.37151
2009-08-30,4.70666
2009-09-06,5.50065
2009-09-13,7.27392
2009-09-20,7.65389
2009-09-27,9.45473
2009-10-04,12.8257
2009-10-11,13.3822
2009-10-18,11.3106
2009-10-25,9.20699
2009-11-01,6.69823
2009-11-08,6.42334
2009-11-15,5.81343
2009-11-22,4.38152
2009-11-29,3.89652
2009-12-06,3.56214
2009-12-13,4.59567
2009-12-20,3.96592
2009-12-27,3.65889
2010-01-03,2.6868
2010-01-10,3.03236
2010-01-17,2.73487
2010-01-24,2.78097
2010-01-31,3.35979
2010-02-07,2.74205
2010-02-14,2.89691
2010-02-21,2.92041
2010-02-28,2.87443
2010-03-07,2.91636
2010-03-14,2.15222
2010-03-21,1.88832
2010-03-28,1.65919
2010-04-04,1.48765
2010-04-11,1.48392
2010-04-18,1.51427
2010-04-25,1.43873
2010-05-02,1.41358
2010-05-09,1.39149
2010-05-16,1.18619
2010-05-23,1.2141
2010-05-30,1.30991
2010-06-06,0.962931
2010-06-13,0.851095
2010-06-20,0.936452
2010-06-27,0.911913
2010-07-04,0.98248
2010-07-11,0.940341
2010-07-18,0.812195
2010-07-25,0.753386
2010-08-01,0.71903
2010-08-08,0.541569
2010-08-15,0.792131
2010-08-22,0.817809
2010-08-29,1.12365
2010-09-05,1.3194
2010-09-12,1.1315
2010-09-19,1.21762
2010-09-26,1.33966
2010-10-03,1.84949
2010-10-10,1.86262
2010-10-17,1.99312
2010-10-24,1.99243
2010-10-31,2.24871
2010-11-07,2.36384
2010-11-14,2.40205
2010-11-21,2.61929
2010-11-28,2.46261
2010-12-05,2.33473
2010-12-12,2.8973
2010-12-19,3.8447
2010-12-26,3.77879
2011-01-02,3.33221
2011-01-09,4.42108
2011-01-16,5.74786
2011-01-23,6.90089
2011-01-30,7.60514
2011-02-06,7.77494
2011-02-13,7.94874
2011-02-20,6.25285
2011-02-27,4.74045
2011-03-06,3.57418
2011-03-13,3.01461
2011-03-20,2.89336
2011-03-27,2.00158
2011-04-03,1.83492
2011-04-10,1.46036
2011-04-17,1.47911
2011-04-24,1.32832
2011-05-01,1.41019
2011-05-08,1.44453
2011-05-15,1.21322
2011-05-22,1.09818
2011-05-29,1.22396
2011-06-05,0.939862
2011-06-12,1.1047
2011-06-19,0.908702
2011-06-26,1.16308
2011-07-03,0.906745
2011-07-10,0.915695
2011-07-17,0.739525
2011-07-24,0.811418
2011-07-31,0.779258
2011-08-07,0.856841
2011-08-14,0.885646
2011-08-21,0.972444
2011-08-28,1.27984
2011-09-04,1.5286
2011-09-11,1.57697
2011-09-18,1.59488
2011-09-25,1.48378
2011-10-02,1.86381
2011-10-09,1.68396
2011-10-16,1.94358
2011-10-23,1.87213
2011-10-30,1.86579
2011-11-06,2.02278
2011-11-13,2.22927
2011-11-20,2.14262
2011-11-27,2.15272
2011-12-04,1.96344
2011-12-11,2.11156
2011-12-18,2.24022
2011-12-25,2.29386
2012-01-01,2.13777
2012-01-08,2.07773
2012-01-15,2.18854
2012-01-22,2.35321
2012-01-29,2.45197
2012-02-05,2.68775
2012-02-12,3.03924
2012-02-19,3.33632
2012-02-26,3.49991
2012-03-04,3.35928
2012-03-11,4.10656
2012-03-18,2.93849
2012-03-25,2.5656
2012-04-01,2.36481
2012-04-08,1.93999
2012-04-15,2.01636
2012-04-22,1.93504
2012-04-29,1.88552
2012-05-06,1.90734
2012-05-13,1.88577
2012-05-20,1.9224
2012-05-27,2.19488
2012-06-03,1.45448
2012-06-10,1.29741
2012-06-17,1.45649
2012-06-24,2.15795
2012-07-01,1.49991
2012-07-08,1.31529
2012-07-15,1.23195
2012-07-22,1.17031
2012-07-29,1.29867
2012-08-05,1.25579
2012-08-12,1.14701
2012-08-19,1.41152
2012-08-26,1.43111
2012-09-02,1.64163
2012-09-09,1.87249
2012-09-16,1.81293
2012-09-23,1.91308
2012-09-30,1.92793
2012-10-07,2.23852
2012-10-14,1.81741
2012-10-21,2.38553
2012-10-28,2.4706
2012-11-04,2.90487
2012-11-11,2.93099
2012-11-18,4.39504
2012-11-25,3.67382
2012-12-02,4.60617
2012-12-09,5.55733
2012-12-16,7.18653
2012-12-23,9.25411
2013-01-06,7.66877
2013-01-13,7.26613
2013-01-20,7.3695
2013-01-27,7.10997
2013-02-03,5.82086
2013-02-10,4.4613
2013-02-17,3.85266
2013-02-24,3.28524
2013-03-03,3.22203
2013-03-10,3.14942
2013-03-17,3.04121
2013-03-24,2.56286
2013-03-31,2.33966
2013-04-07,2.23433
2013-04-14,2.02133
2013-04-21,1.9546
2013-04-28,1.87992
2013-05-05,1.65645
2013-05-12,1.73602
2013-05-19,1.63421
2013-05-26,1.47642
2013-06-02,1.51067
2013-06-09,1.3348
2013-06-16,1.24818
2013-06-23,1.58591
2013-06-30,1.42071
2013-07-07,1.55464
2013-07-14,1.42515
2013-07-21,1.35908
2013-07-28,1.20512
2013-08-04,1.37829
2013-08-11,1.161
2013-08-18,1.29592
2013-08-25,1.41086
2013-09-01,1.69677
2013-09-08,2.33453
2013-09-15,2.29547
2013-09-22,2.4592
2013-09-29,2.63031
2013-10-06,2.1557
2013-10-13,2.23693
2013-10-20,2.43559
2013-10-27,2.39649
2013-11-03,2.51041
2013-11-10,2.91517
2013-11-17,3.29638
2013-11-24,3.70307
2013-12-01,4.39287
2013-12-08,4.94593
2013-12-15,5.60209
2013-12-22,8.00422
2013-12-29,9.86221
2014-01-05,8.5737
2014-01-12,6.94006
2014-01-19,5.78707
2014-01-26,5.30023
2014-02-02,5.2044
2014-02-09,4.56823
2014-02-16,3.88266
2014-02-23,3.7722
2014-03-02,3.59481
2014-03-09,3.43723
2014-03-16,3.19107
2014-03-23,3.00339
2014-03-30,2.85576
2014-04-06,2.7703
2014-04-13,2.87728
2014-04-20,2.61257
2014-04-27,2.46958
2014-05-04,2.1299
2014-05-11,2.13556
2014-05-18,2.35974
2014-05-25,2.23412
2014-06-01,2.22923
2014-06-08,1.97798
2014-06-15,1.74785
2014-06-22,1.54353
2014-06-29,2.31159
2014-07-06,1.52067
2014-07-13,1.49204
2014-07-20,1.40095
2014-07-27,1.25428
2014-08-03,1.33401
2014-08-10,1.20459
2014-08-17,1.21144
2014-08-24,1.23828
2014-08-31,1.36612
2014-09-07,1.68378
2014-09-14,1.82467
2014-09-21,1.94603
2014-09-28,1.91276
2014-10-05,1.60474
2014-10-12,1.79716
2014-10-19,1.93309
2014-10-26,2.02657
2014-11-02,2.10772
2014-11-09,2.23149
2014-11-16,2.25351
2014-11-23,3.52525
2014-11-30,4.20214
2014-12-07,4.41652
2014-12-14,7.57329
2014-12-21,10.6204
2014-12-28,7.53666
2015-01-04,7.71853
2015-01-11,8.83368
2015-01-18,7.27476
2015-01-25,6.39277
2015-02-01,5.85114
2015-02-08,5.49937
2015-02-15,4.97422
2015-02-22,4.26325
2015-03-01,4.22797
2015-03-08,4.23676
2015-03-15,3.65129
2015-03-22,3.23939
2015-03-29,2.95894
2015-04-05,2.45254
2015-04-12,2.3405
2015-04-19,1.60486
2015-04-26,2.21258
2015-05-03,2.10266
2015-05-10,1.9477
2015-05-17,1.90513
2015-05-24,1.80231
2015-05-31,2.02649
2015-06-07,1.42131
2015-06-14,1.44189
2015-06-21,1.21399
2015-06-28,1.28068
2015-07-05,1.1037
2015-07-12,1.12435
2015-07-19,1.0912
2015-07-26,0.95152
2015-08-02,0.907402
2015-08-09,0.954889
2015-08-16,1.28703
2015-08-23,1.02144
2015-08-30,1.30774
2015-09-06,1.67823
2015-09-13,1.65947
